"행정구역(시군구)별",2012,2013,2014,2015,2016
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"양구군",22799,23594,23888,24089,24010
"인제군",32456,32517,32475,33255,32720
"고성군",30124,30398,30269,30060,30114
"양양군",27802,27659,27521,27479,27218
"충청북도",1565628,1572732,1578933,1583952,1591625
"청주시",666852,672904,831521,831912,835197
"상당구",240433,246128,179792,176424,173701
"흥덕구",426419,426776,252027,253426,253563
"충주시",208447,208115,208527,207913,208350
"제천시",137521,137204,136805,136138,136517
"청원군",154780,155002,-,-,-
"보은군",34438,34318,34240,34296,34221
"옥천군",53244,52763,52469,52404,52267
"영동군",50663,50539,50803,50693,50552
"증평군",34279,34546,34771,36671,37308
"진천군",63458,64606,65174,67981,69950
"괴산군",37713,38059,38351,38787,38973
"음성군",92980,93505,95324,96396,97787
"단양군",31253,31171,30948,30761,30503
"충청남도",2028777,2047631,2062273,2077649,2096727
"당진시",155104,159615,162844,165122,166630
"천안시",581988,591089,598346,605776,617955
"동남구",257908,260575,261768,261474,258919
"서북구",324080,330514,336578,344302,359036
"공주시",117298,116369,113621,111261,109931
"보령시",105559,104938,104321,104754,103873
"아산시",280490,287073,293954,297737,302929
"서산시",163315,165837,167611,170099,170788
"논산시",126653,125844,124784,124232,123213
"계룡시",41550,40957,40552,41730,42634
"금산군",55715,55441,55166,54879,54612
"연기군",-,-,-,-,-
"부여군",73259,72547,71754,71143,70187
"서천군",58920,58441,57713,56910,56012
"청양군",32087,32155,32248,32485,32753
"홍성군",88415,89704,91866,94553,99971
"예산군",85876,85205,84919,83484,81339
"태안군",62548,62416,62574,63484,63900
"당진군",-,-,-,-,-
"전라북도",1873341,1872965,1871560,1869711,1864791
"전주시",648863,650082,652877,652282,651744
"완산구",363986,363694,364872,365605,361845
"덕진구",284877,286388,288005,286677,289899
"군산시",278341,278319,278098,278398,277551
"익산시",306469,306539,304117,302061,300479
"정읍시",119392,118328,117183,115977,115173
"남원시",87000,86460,85643,84856,84188
"김제시",92317,91218,90108,88721,87782
"완주군",86164,86978,90377,95303,95480
"진안군",26963,26703,26474,26203,26069
"무주군",25321,25398,25390,25220,24949
"장수군",23191,23243,23335,23277,23628
"임실군",29956,29739,29966,30271,30197
"순창군",30055,30272,30368,30248,29949
"고창군",60440,60522,60090,60046,60597
"부안군",58869,59164,57534,56848,57005
"전라남도",1909618,1907172,1905780,1908996,1903914
"목포시",245073,240936,239109,238382,237739
"여수시",292217,291366,290900,290168,288988
"순천시",273798,275668,277188,278765,278548
"나주시",88067,87754,90669,98182,104376
"광양시",150837,151621,152097,153587,155580
"담양군",47612,47365,47177,47009,47229
"곡성군",30878,31009,30732,30672,30400
"구례군",27077,27115,27170,27308,27412
"고흥군",71560,70631,69641,68601,67656
"보성군",47050,46385,45882,45349,44469
"화순군",68378,67829,66772,65848,65303
"장흥군",42672,43004,43190,43513,40669
"강진군",40241,40079,39861,38758,37753
"해남군",78150,77684,76981,76194,75121
"영암군",59997,59061,58852,58137,57045
"무안군",75741,79367,81696,82236,82109
"함평군",35780,35610,35090,34876,34397
"영광군",57224,57617,56833,56267,55618
"장성군",46289,46292,46273,46360,46104
"완도군",53871,53619,53174,53014,52668
"진도군",33208,32998,32746,32476,32078
"신안군",43898,44162,43747,43294,42652
"경상북도",2698353,2699440,2700794,2702826,2700398
"포항시",518913,519467,519368,519584,516775
"남구",251434,249709,247649,246445,244748
"북구",267479,269758,271719,273139,272027
"경주시",264091,263283,261535,259773,259452
"김천시",135504,135259,135456,140132,142256
"안동시",168302,168461,168697,169221,168798
"구미시",416949,419428,420320,419915,419891
"영주시",113547,112625,110780,109735,109247
"영천시",101798,100778,100689,100648,100521
"상주시",104182,103346,102892,102374,101799
"문경시",75899,75664,75911,75784,74702
"경산시",246358,248805,253968,256888,258037
"군위군",24119,24172,24170,24126,24171
"의성군",57043,56064,55212,54477,54014
"청송군",26481,26470,26453,26384,26301
"영양군",18208,18297,18197,17898,17713
"영덕군",40257,40142,39586,39191,39052
"청도군",43968,43788,43993,43724,43564
"고령군",35343,35198,35033,34594,34257
"성주군",45127,45067,44981,45029,45205
"칠곡군",119786,121182,122058,122829,123199
"예천군",46027,45573,45104,44674,46166
"봉화군",33934,33894,34023,33808,33539
"울진군",51844,51953,52104,51885,51738
"울릉군",10673,10524,10264,10153,10001
"경상남도",3319314,3333820,3350257,3364702,3373871
"창원시",1091471,1083731,1075168,1070064,1063907
"의창구",255394,255816,258250,256471,252435
"성산구",246801,242870,238414,234399,231571
"마산합포구",185505,183365,182223,181670,181797
"마산회원구",221388,219558,214291,211791,210791
"진해구",182383,182122,181990,185733,187313
"창원시",-,-,-,-,-
"마산시",-,-,-,-,-
